artist,track,id,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration
Taylor Swift,Dear Reader,3QF5RsWzK1lCvf2o2cY65P,0.674,0.39,-11.944,0.464,0.00122,0.116,0.151,107.891,225194
Taylor Swift,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,0.735,0.449,-10.56,0.23,0.00126,0.132,0.0955,97.05,202396
Taylor Swift,Maroon,3eX0NZfLtGzoLUxPNvRfqm,0.655,0.384,-8.29,0.0634,1.45e-06,0.0973,0.0384,108.058,218271
Taylor Swift,Anti-Hero,0V3wPSX9ygBnCm8psDIegu,0.633,0.648,-6.645,0.121,2.62e-06,0.161,0.49,96.888,200690
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),1wtOxkiel43cVs0Yux5Q4h,0.663,0.321,-13.527,0.701,0.000598,0.107,0.153,110.021,256124
Taylor Swift,"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,0.696,0.39,-10.331,0.447,1.55e-05,0.125,0.395,120.032,194207
Taylor Swift,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,0.604,0.375,-11.637,0.71,5.87e-05,0.116,0.203,137.651,174783
Taylor Swift,Question...?,0heeNYlwOGuUSe7TgUD27B,0.654,0.51,-8.767,0.206,0.0,0.249,0.105,108.874,210557
Taylor Swift,Vigilante Shit,1xwAWUI6Dj0WGC3KiUPN0O,0.872,0.267,-10.764,0.166,2.18e-05,0.123,0.168,79.964,164801
Taylor Swift,Bejeweled,3qoftcUZaUOncvIYjFSPdE,0.687,0.551,-9.202,0.0593,0.000143,0.09,0.443,163.994,194166
Taylor Swift,Labyrinth,0A1JLUlkZkp2EFrosoNQi0,0.48,0.295,-15.512,0.797,0.333,0.12,0.132,110.018,247962
Taylor Swift,Karma,7KokYm8cMIXCsGVmUvKtqf,0.64,0.619,-7.108,0.062,0.0,0.475,0.121,90.008,204852
Taylor Swift,Sweet Nothing,0wavGRldH0AWyu2zvTz8zb,0.336,0.161,-14.973,0.968,0.00011,0.115,0.407,176.48,188497
Taylor Swift,Mastermind,7FmYn9e7KHMXcxqGSj9LjH,0.66,0.343,-14.132,0.565,0.00134,0.0922,0.137,125.96,191039
Taylor Swift,State Of Grace (Taylor's Version),6lzc0Al0zfZOIFsFvBS1ki,0.594,0.713,-5.314,0.000328,0.0,0.114,0.328,129.958,295413
Taylor Swift,Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,0.516,0.777,-4.908,0.00108,1.62e-06,0.0761,0.408,125.047,223093
Taylor Swift,Treacherous (Taylor's Version),3S7HNKPakdwNEBFIVTL6dZ,0.645,0.593,-6.506,0.0344,0.000127,0.13,0.299,109.984,242720
